date_index,count_variable,count,n_pos,pos_ratio
2020-05-11,Date,353,2,0.0056657223796034
2020-05-18,Date,1376,7,0.005087209302325582
2020-05-25,Date,2108,4,0.0018975332068311196
2020-06-01,Date,2360,4,0.001694915254237288
2020-06-08,Date,3035,3,9.884678747940692e-4
2020-06-15,Date,3814,6,0.0015731515469323545
2020-06-22,Date,3697,3,8.114687584527996e-4
2020-06-29,Date,3955,3,7.585335018963338e-4
2020-07-06,Date,3734,1,2.678093197643278e-4
2020-07-13,Date,3752,0,0
2020-07-20,Date,2668,0,0
2020-07-27,Date,535,0,0
2020-08-03,Date,4,0,0
2020-08-10,Date,677,18,0.026587887740029542
2020-08-17,Date,1185,21,0.017721518987341773
2020-08-24,Date,1518,14,0.00922266139657444
2020-08-31,Date,1607,13,0.008089607965152458
2020-09-07,Date,2547,15,0.005889281507656066
2020-09-14,Date,2355,14,0.0059447983014862
2020-09-21,Date,2438,28,0.011484823625922888
2020-09-28,Date,2473,25,0.010109179134654266
2020-10-05,Date,1717,20,0.011648223645894
2020-10-12,Date,2733,36,0.013172338090010977
2020-10-19,Date,2546,21,0.008248232521602514
2020-10-26,Date,2267,17,0.007498897220996913
2020-11-02,Date,2423,21,0.008666941807676434
2020-11-09,Date,1775,30,0.016901408450704224
2020-11-16,Date,2526,37,0.014647664291369754
2020-11-23,Date,2356,33,0.01400679117147708
2020-11-30,Date,2393,29,0.01211867948182198
2020-12-07,Date,2825,36,0.012743362831858408
2020-12-14,Date,2765,33,0.011934900542495479
2020-12-21,Date,2619,68,0.025964108438335243
2020-12-28,Date,3689,114,0.030902683654106804
2021-01-04,Date,4315,141,0.03267670915411356
2021-01-11,Date,5041,134,0.02658202737552073
2021-01-18,Date,4394,78,0.01775147928994083
2021-01-25,Date,5924,74,0.012491559756921
2021-02-01,Date,4476,22,0.004915102770330653
2021-02-08,Date,4828,20,0.004142502071251036
2021-02-15,Date,4459,9,0.002018389773491814
2021-02-22,Date,4284,11,0.0025676937441643324
2021-03-01,Date,4657,14,0.003006227184882972
2021-03-08,Date,4461,9,0.0020174848688634837
2021-03-15,Date,4042,10,0.002474022761009401
2021-03-22,Date,3052,4,0.001310615989515072
2021-03-29,Date,4469,8,0.0017901096442157081
2021-04-05,Date,4428,7,0.0015808491418247517
2021-04-12,Date,4247,7,0.0016482222745467388
2021-04-19,Date,4292,5,0.0011649580615097856
2021-04-26,Date,4577,6,0.0013109023377758358
2021-05-03,Date,4624,4,8.650519031141869e-4
2021-05-10,Date,4654,3,6.446067898581865e-4
2021-05-17,Date,3979,2,5.026388539834129e-4
2021-05-24,Date,236,0,0
2021-05-31,Date,26,0,0
2021-06-07,Date,22,0,0
2021-06-14,Date,10,0,0
2021-06-21,Date,23,2,0.08695652173913043
2021-06-28,Date,21,13,0.6190476190476191
2021-07-05,Date,29,18,0.6206896551724138
2021-07-12,Date,138,43,0.3115942028985507
2021-07-19,Date,224,44,0.19642857142857142
2021-07-26,Date,238,41,0.1722689075630252
2021-08-02,Date,133,21,0.15789473684210525
2021-08-09,Date,41,20,0.4878048780487805
2021-08-16,Date,49,26,0.5306122448979592
2021-08-23,Date,65,15,0.23076923076923078
2021-08-30,Date,45,12,0.26666666666666666
2021-09-06,Date,81,5,0.06172839506172839
2021-11-29,Date,13,7,0.5384615384615384
2021-12-06,Date,260,44,0.16923076923076924
2021-12-13,Date,2287,122,0.05334499344118933
2021-12-20,Date,2545,157,0.06168958742632613
2021-12-27,Date,2577,193,0.07489328676755917
2022-01-03,Date,1380,121,0.08768115942028985
2022-01-10,Date,35,29,0.8285714285714286
2022-01-17,Date,14,10,0.7142857142857143
2022-01-24,Date,7,5,0.7142857142857143
2022-01-31,Date,12,11,0.9166666666666666
